id,course_title,url,level,main_subject,specific_subject
0,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,Intermediate Level,Business Finance,Investment
1,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,Intermediate Level,Business Finance,Modeling
2,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,Beginner Level,Business Finance,Analysis
3,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,Intermediate Level,Business Finance,Trading
4,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,Beginner Level,Business Finance,Trading
5,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,Beginner Level,Business Finance,Investment
6,Trading Stock Chart Patterns For Immediate Explosive Gains,https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,Expert Level,Business Finance,Trading
7,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,Expert Level,Business Finance,Trading
8,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,Intermediate Level,Business Finance,Investment
9,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,Intermediate Level,Business Finance,Trading
10,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,Expert Level,Business Finance,Trading
11,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,Expert Level,Business Finance,Management
12,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,Intermediate Level,Business Finance,Trading
13,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,Expert Level,Business Finance,Technical
14,Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,Intermediate Level,Business Finance,Stock Market
15,Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,Beginner Level,Business Finance,Stock Market
16,The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,Intermediate Level,Business Finance,Trading
17,7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,Beginner Level,Business Finance,Investment
18,Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,Beginner Level,Business Finance,Analysis
19,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,Intermediate Level,Business Finance,Trading
20,Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,Beginner Level,Business Finance,Trading
21,Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,Expert Level,Business Finance,Management
22,Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,Beginner Level,Business Finance,Accounting
23,The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,Beginner Level,Business Finance,Cryptocurrency
24,Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,Beginner Level,Business Finance,Technical
25,Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,Beginner Level,Business Finance,Investment
26,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,Intermediate Level,Business Finance,Management
27,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,Beginner Level,Business Finance,Technical
28,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,Beginner Level,Business Finance,Trading
29,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,Beginner Level,Business Finance,Technical
30,THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,Intermediate Level,Business Finance,Technical
31,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,Beginner Level,Business Finance,Cryptocurrency
32,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,Expert Level,Business Finance,Trading
33,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,Beginner Level,Business Finance,Cryptocurrency
34,Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,Intermediate Level,Business Finance,Stock Market
35,Introduction to Finance Accounting Modeling and Valuation,https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,Beginner Level,Business Finance,Modeling
36,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,Intermediate Level,Business Finance,Modeling
37,The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,Expert Level,Business Finance,Investment
38,The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,Expert Level,Business Finance,Analysis
39,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,Intermediate Level,Business Finance,Technical
40,Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,Beginner Level,Business Finance,Modeling
41,Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,Intermediate Level,Business Finance,Trading
42,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,Intermediate Level,Business Finance,Trading
43,Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,Beginner Level,Business Finance,Accounting
44,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,Intermediate Level,Business Finance,Cryptocurrency
45,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,Intermediate Level,Business Finance,Technical
46,Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,Beginner Level,Business Finance,Trading
47,Option Trading for Rookies:  Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,Beginner Level,Business Finance,Trading
48,How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,Expert Level,Business Finance,Stock Market
49,Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,Beginner Level,Business Finance,Trading
50,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,Intermediate Level,Business Finance,Trading
51,Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,Beginner Level,Business Finance,Management
52,Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,Expert Level,Business Finance,Trading
53,Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,Beginner Level,Business Finance,Investment
54,Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,Beginner Level,Business Finance,Accounting
55,How to Consistently Win Trading Stocks in 30 Days or Less,https://www.udemy.com/winningstocktrades/,Intermediate Level,Business Finance,Trading
56,A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,Intermediate Level,Business Finance,Technical
57,How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,Intermediate Level,Business Finance,Trading
58,Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,Beginner Level,Business Finance,Technical
59,Comprehensive Guide to Financial Markets Investing &Trading,https://www.udemy.com/financial-markets-a-to-z-for-beginners/,Beginner Level,Business Finance,Stock Market
60,Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,Intermediate Level,Business Finance,Stock Market
61,Trading for Beginners - Intermediate Level,https://www.udemy.com/trading-for-beginners-tier-2/,Beginner Level,Business Finance,Trading
62,Start Trading Stocks Using Technical Analysis!,https://www.udemy.com/professional-stock-trader/,Beginner Level,Business Finance,Analysis
63,VPS for Forex Trading - Protect Your Forex Robots,https://www.udemy.com/forex-vps/,Expert Level,Business Finance,Trading
64,Introduction to Accounting: The Language of Business,https://www.udemy.com/learnaccountingforfree/,Beginner Level,Business Finance,Accounting
65,Basic Excel for Basic Bookkeeping and Accounting,https://www.udemy.com/basic-excel-for-basic-bookkeeping/,Beginner Level,Business Finance,Accounting
66,FOREX Trading with Price Action,https://www.udemy.com/forex-trading-system/,Beginner Level,Business Finance,Trading
67,Forex Trading - Advanced Fundamental Analysis,https://www.udemy.com/forex-trading-advanced-fundamental-analysis/,Intermediate Level,Business Finance,Trading
68,How To Invest With Tiny Capital In Stocks ?,https://www.udemy.com/howtoinvest5k/,Beginner Level,Business Finance,Investment
69,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,https://www.udemy.com/metatrader4/,Beginner Level,Business Finance,Trading
70,Intermediate Options trading concepts for Stocks and Options,https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/,Intermediate Level,Business Finance,Trading
71,Options Trading 101: The Basics,https://www.udemy.com/options-trading-101-the-basics/,Beginner Level,Business Finance,Trading
72,Bitcoin Profits for Beginners,https://www.udemy.com/bitcoin-profits-for-beginners/,Beginner Level,Business Finance,Cryptocurrency
73,Trend Traders Club: How To Find And Trade Fast Moving Trends,https://www.udemy.com/how-to-find-and-trade-profitable-fast-moving-trends/,Intermediate Level,Business Finance,Trading
74,Financial Statements Basics,https://www.udemy.com/financial-statements-basics/,Beginner Level,Business Finance,Analysis
75,High performance Stock Trading using key Options techniques,https://www.udemy.com/high-performance-stock-trading-using-options-trading-techniques/,Expert Level,Business Finance,Stock Market
76,Introduction to Financial Statement Analysis,https://www.udemy.com/introduction-to-financial-statement-analysis/,Beginner Level,Business Finance,Analysis
77,Basics of Economics (College Level),https://www.udemy.com/economics-for-accounting-and-finance-professionals/,Beginner Level,Business Finance,Management
78,Stock Market Investing for Beginners,https://www.udemy.com/the-beginners-guide-to-the-stock-market/,Beginner Level,Business Finance,Stock Market
79,Accounting for Beginners : Learn Basics in under 1 Hour,https://www.udemy.com/accounting-for-beginners-how-to-do-accounting-super-easily/,Beginner Level,Business Finance,Accounting
80,Straddle Options Trading - Profit in Any Market Direction,https://www.udemy.com/straddle-options-trading-profit-in-any-market-direction/,Intermediate Level,Business Finance,Trading
81,Fundamentals of Forex Trading,https://www.udemy.com/fundamentals-of-forex-trading/,Beginner Level,Business Finance,Trading
