course_title	url	level	main_subject	specific_subject
Ultimate Investment Banking Course	https://www.udemy.com/ultimate-investment-banking-course/	All Levels	Business Finance	Investment
Financial Modeling for Business Analysts and Consultants	https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/	Intermediate Level	Business Finance	Modeling
Beginner to Pro - Financial Analysis in Excel 2017	https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/	All Levels	Business Finance	Analysis
How To Maximize Your Profits Trading Options	https://www.udemy.com/how-to-maximize-your-profits-trading-options/	Intermediate Level	Business Finance	Trading
Trading Penny Stocks: A Guide for All Levels In 2017	https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/	All Levels	Business Finance	Trading
Investing And Trading For Beginners: Mastering Price Charts	https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/	Beginner Level	Business Finance	Investment
"Trading Stock Chart Patterns For Immediate, Explosive Gains"	https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/	All Levels	Business Finance	Trading
Options Trading 3 : Advanced Stock Profit and Success Method	https://www.udemy.com/day-trading-stock-options-3/	Expert Level	Business Finance	Trading
The Only Investment Strategy You Need For Your Retirement	https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/	All Levels	Business Finance	Investment
Forex Trading Secrets of the Pros With Amazon's AWS	https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/	All Levels	Business Finance	Trading
Trading Options With Money Flow	https://www.udemy.com/trading-options-using-money-flow/	All Levels	Business Finance	Trading
Financial Management Risk and Return For Securities	https://www.udemy.com/risk-and-return-finance/	All Levels	Business Finance	Management
Forex Trading Course: Work Smarter Not Harder Proven Results	https://www.udemy.com/the-complete-trading-course/	All Levels	Business Finance	Trading
Python Algo Trading: Sentiment Trading with News	https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/	All Levels	Business Finance	Technical
Short Selling: Learn To Sell Stocks Before The Fall	https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/	Intermediate Level	Business Finance	Stock Market
Basic Technical Analysis: Learn the structure of the market	https://www.udemy.com/learn-basic-technical-analysis/	Beginner Level	Business Finance	Stock Market
The Complete Chart Pattern Trading Course: A Proven Approach	https://www.udemy.com/make-money-trading-stocks-from-home/	All Levels	Business Finance	Trading
7 Deadly Mistakes of Investing that Will Slash Your Profits!	https://www.udemy.com/7-deadly-mistakes-of-investing/	All Levels	Business Finance	Investment
Financial Statements Made Easy	https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/	Beginner Level	Business Finance	Analysis
Winning Forex Trading with Live Forex Trading Examples	https://www.udemy.com/forexmacross/	All Levels	Business Finance	Trading
Forex Traders - Create Your First Trading Robot. No Coding!	https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/	All Levels	Business Finance	Trading
Create A Business From Home Trading Stocks Today In 2017	https://www.udemy.com/work-from-home-buying-penny-stocks/	All Levels	Business Finance	Management
Introduction to Accounting : Mastering Financial Statements	https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/	Beginner Level	Business Finance	Accounting
The Complete Ethereum Course: Get .01 Ether In Your Wallet	https://www.udemy.com/ethereum/	All Levels	Business Finance	Cryptocurrency
Beginner to Pro in PowerPoint: Complete PowerPoint Training	https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/	All Levels	Business Finance	Technical
Investing 101: The Complete Online Investing Course	https://www.udemy.com/online-investing-guide/	All Levels	Business Finance	Investment
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager	https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/	Intermediate Level	Business Finance	Management
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5)	https://www.udemy.com/learn-mql5/	All Levels	Business Finance	Technical
Forex Trading: Your Complete Guide to Get Started Like a Pro	https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/	Beginner Level	Business Finance	Trading
Python Algo Stock Trading: Automate Your Trading!	https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/	Beginner Level	Business Finance	Technical
THE Forex Robot: Incredible ROI (Robot Included)	https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/	All Levels	Business Finance	Technical
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet	https://www.udemy.com/bitcoin-for-beginners/	All Levels	Business Finance	Cryptocurrency
Mastering High Probability Iron Condor Options Trading	https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/	All Levels	Business Finance	Trading
The Complete Short Course on Ethereum	https://www.udemy.com/ethereum1/	All Levels	Business Finance	Cryptocurrency
Options Trading Stocks: Proven Toolbox For Financial Success	https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/	Intermediate Level	Business Finance	Stock Market
"Introduction to Finance, Accounting, Modeling and Valuation"	https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/	All Levels	Business Finance	Modeling
Beginner to Pro in Excel: Financial Modeling and Valuation	https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/	All Levels	Business Finance	Modeling
The Complete Investment Banking Course 2017	https://www.udemy.com/the-complete-investment-banking-course-2016/	All Levels	Business Finance	Investment
The Complete Financial Analyst Course 2017	https://www.udemy.com/the-complete-financial-analyst-course/	All Levels	Business Finance	Analysis
Python for Finance: Investment Fundamentals & Data Analytics	https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/	All Levels	Business Finance	Technical
Financial Modeling for Startups & Small Businesses	https://www.udemy.com/financial-modeling-for-startups-small-businesses/	Beginner Level	Business Finance	Modeling
Options Trading - How to Win with Weekly Options	https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/	Intermediate Level	Business Finance	Trading
Black Algo Trading: Build Your Trading Robot	https://www.udemy.com/build-your-trading-robot/	All Levels	Business Finance	Trading
Accounting & Financial Statement Analysis: Complete Training	https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/	All Levels	Business Finance	Accounting
Cryptocurrency Trading: Complete Guide To Trading Altcoins	https://www.udemy.com/cryptocurrency-trading/	All Levels	Business Finance	Cryptocurrency
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!	https://www.udemy.com/backtesting/	All Levels	Business Finance	Technical
Three Steps Trading - Live Trading - Real Account	https://www.udemy.com/three-steps-trading-live-trading-real-account/	All Levels	Business Finance	Trading
Option Trading for Rookies:  Understand Options Completely	https://www.udemy.com/complete-course-introduction-to-option-trading/	All Levels	Business Finance	Trading
How I Learned Stock Trading (and How You Can Too)	https://www.udemy.com/best-stock-traders/	Expert Level	Business Finance	Stock Market
Learn to Trade for Profit: Find and Trade Winning Stocks	https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/	All Levels	Business Finance	Trading
Trading Inside Bars - Master 1 Easy Pattern To Be Successful	https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/	Intermediate Level	Business Finance	Trading
Four Fundamentals of Financial Planning	https://www.udemy.com/four-fundamentals-of-financial-planning/	All Levels	Business Finance	Management
Options Trading - Calendar Spread Course for Every Trader	https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/	All Levels	Business Finance	Trading
Dividend Investing: Build Your Portfolio for a Better Future	https://www.udemy.com/dividend-investing/	Beginner Level	Business Finance	Investment
Learn Accounting. Understand Business.	https://www.udemy.com/learn-accounting-understand-business/	Beginner Level	Business Finance	Accounting
How to Consistently Win Trading Stocks in 30 Days or Less	https://www.udemy.com/winningstocktrades/	Intermediate Level	Business Finance	Trading
A Beginner's Guide to Quantopian Futures API	https://www.udemy.com/quantopian-futures/	Intermediate Level	Business Finance	Technical
How to Buy Cheap Options - Options Trading Pricing Model	https://www.udemy.com/options-black-scholes-model/	All Levels	Business Finance	Trading
Excel Crash Course: Master Excel for Financial Analysis	https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/	All Levels	Business Finance	Technical
"Comprehensive Guide to Financial Markets, Investing &Trading"	https://www.udemy.com/financial-markets-a-to-z-for-beginners/	Beginner Level	Business Finance	Stock Market
Stock Trading Ninja: Complete System For Trading Success	https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/	All Levels	Business Finance	Stock Market
Trading for Beginners - Intermediate Level	https://www.udemy.com/trading-for-beginners-tier-2/	Beginner Level	Business Finance	Trading
Start Trading Stocks Using Technical Analysis!	https://www.udemy.com/professional-stock-trader/	All Levels	Business Finance	Analysis
VPS for Forex Trading - Protect Your Forex Robots	https://www.udemy.com/forex-vps/	All Levels	Business Finance	Trading
Introduction to Accounting: The Language of Business	https://www.udemy.com/learnaccountingforfree/	Beginner Level	Business Finance	Accounting
Basic Excel for Basic Bookkeeping and Accounting	https://www.udemy.com/basic-excel-for-basic-bookkeeping/	Beginner Level	Business Finance	Accounting
FOREX Trading with Price Action	https://www.udemy.com/forex-trading-system/	Beginner Level	Business Finance	Trading
Forex Trading - Advanced Fundamental Analysis	https://www.udemy.com/forex-trading-advanced-fundamental-analysis/	Intermediate Level	Business Finance	Trading
How To Invest With Tiny Capital In Stocks ?	https://www.udemy.com/howtoinvest5k/	Beginner Level	Business Finance	Investment
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader	https://www.udemy.com/metatrader4/	Beginner Level	Business Finance	Trading
Intermediate Options trading concepts for Stocks and Options	https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/	Intermediate Level	Business Finance	Trading
