id,course_title,url,level,main_subject,specific_subject
0,7 Ways A Beginner Guitarist Can Sound Better  Instantly!,https://www.udemy.com/nationalguitaracademy/,Beginner Level,Musical Instruments,Guitar Acoustic
1,Instant Harmonica - Christmas. Play Jingle Bells Part 1 now,https://www.udemy.com/instant-harmonica-christmas-play-jingle-bells-part-1-now/,Expert Level,Musical Instruments,Harmonica Christmas Songs
2,Playing Piano:  Popular Pieces Vol. II,https://www.udemy.com/playing-piano-popular-pieces-volii/,Beginner Level,Musical Instruments,Piano Songs
3,Ninja Chord Changes - Master your guitar chord changes,https://www.udemy.com/ninja-chord-changes/,Beginner Level,Musical Instruments,Guitar Chords Picking
4,Your First 10 Guitar Lessons - Learn how to play guitar,https://www.udemy.com/your-first-10-guitar-lessons-learn-how-to-play-guitar/,Beginner Level,Musical Instruments,Guitar
5,Pentatonic Scale Crash Course for Bass Guitar,https://www.udemy.com/pentatonic-scale-crash-course-for-bass-guitar/,Intermediate Level,Musical Instruments,Bass Guitar Scales 
6,Modal Theory for Guitar (Guitar Lessons from Lutz Academy),https://www.udemy.com/modal-theory-for-guitar/,Intermediate Level,Musical Instruments,Guitar Teaching
7,Learn Fun Dreamy Piano Techniques #1 -  Play White Christmas,https://www.udemy.com/learn-piano-christmas-song-play-dreamy-piano-music-white-christmas/,Expert Level,Musical Instruments,Piano Christmas Songs
8,Learn Jazz Piano Today,https://www.udemy.com/learn-jazz-piano-with-willie-today/,Expert Level,Musical Instruments,Piano Jazz
9,Learn To Play The Drums Without A Drum Kit,https://www.udemy.com/learn-to-play-the-drums-without-a-drum-kit/,Beginner Level,Musical Instruments,Drums NoInstrument
10,Learn Travis Picking From Scratch,https://www.udemy.com/learn-travis-picking-from-scratch/,Intermediate Level,Musical Instruments,Guitar Picking
11,Instant Harmonica - how to get single notes in 5 easy steps,https://www.udemy.com/instant-harmonica-how-to-get-single-notes-in-5-easy-steps/,Beginner Level,Musical Instruments,Harmonica
12,Piano Runs & Fills #3:  Jazzy Chromatic Chord Song Endings,https://www.udemy.com/piano-runs-fills-3-jazz-chromatic-chords-songs-ending/,Intermediate Level,Musical Instruments,Piano Jazz
13,Teaching Music : Start teaching an instrument successfully.,https://www.udemy.com/teaching-piano-a-quick-guide-for-begginers/,Beginner Level,Musical Instruments,Teaching
14,Strumming from scratch - Rhythm guitar lesson for Beginners,https://www.udemy.com/strumming-from-scratch-rhythm-guitar-lesson-for-beginners/,Beginner Level,Musical Instruments,Guitar Rhythm
15,Blues Guitar Lessons - From Texas To Carolina,https://www.udemy.com/jim-bruce-blues-guitar-lessons-texas-carolina/,Intermediate Level,Musical Instruments,Guitar Blues
16,Instant Harmonica - play the groovy Beatles Yesterday today!,https://www.udemy.com/instant-harmonica-play-the-groovy-beatles-yesterday-today/,Intermediate Level,Musical Instruments,Harmonica Songs
17,Beginner Guitar Quick-Start Course,https://www.udemy.com/learn-guitar-in-30-minutes/,Beginner Level,Musical Instruments,Guitar
18,Mike G's Beginner Drum Course: Part 1,https://www.udemy.com/drumlessons/,Beginner Level,Musical Instruments,Drums
19,Guitar for Beginners - Learn the Basics,https://www.udemy.com/learnguitar/,Beginner Level,Musical Instruments,Guitar
20,How To Play The Djembe: For Beginners,https://www.udemy.com/how-to-play-the-djembe-for-beginners/,Beginner Level,Musical Instruments,Djembe Unique
21,Blues Guitar Lessons - Volume 1 - Blues Shuffle Essentials,https://www.udemy.com/blues-guitar-magic-volume-1/,Intermediate Level,Musical Instruments,Guitar Blues
22,Beginner Guitar - 38 Easy Lessons You Needs to Get Started,https://www.udemy.com/beginner-guitar-8-lessons-everyone-needs/,Beginner Level,Musical Instruments,Guitar
23,Bass Guitar Lessons For Beginners,https://www.udemy.com/the-music-coach-online-bass-guitar-lesson-program/,Beginner Level,Musical Instruments,Bass Guitar
24,Pure Pentatonic Power: Rock and Blues Guitar Soloing,https://www.udemy.com/pure-pentatonic-power-a-masterclass-in-rock-and-blues/,Expert Level,Musical Instruments,Guitar Blues Rock
25,Rock Drumset Grooves: Level 1,https://www.udemy.com/rock-drumset-grooves-101/,Beginner Level,Musical Instruments,Drums Rock
26,Guitar: The Next Level,https://www.udemy.com/guitar-the-next-level/,Beginner Level,Musical Instruments,Guitar
27,Learn to Play Euphonium: Beginner to Pro in Under Five Hours,https://www.udemy.com/beginning-euphonium/,Beginner Level,Musical Instruments,Unique Euphonium
28,Learn Oud 1 (No Prior Music Knowledge Required!),https://www.udemy.com/learn-oud/,Beginner Level,Musical Instruments,Unique Oud
29,Instant Harmonica - play Dylan's Blowing in the Wind today!,https://www.udemy.com/instant-harmonica-play-dylans-blowing-in-the-wind-today/,Expert Level,Musical Instruments,Harmonica Songs
30,Improvise On The Piano In 30 Minutes,https://www.udemy.com/improvise-on-the-piano-in-30-minutes/,Beginner Level,Musical Instruments,Piano
31,Cajon Step-by-Step: Beginner > Intermediate > Advanced,https://www.udemy.com/cajon-step-by-step/,Beginner Level,Musical Instruments,Unique Cajon
32,Blues Guitar Lessons - Volume 2 - Slow Blues Essentials,https://www.udemy.com/blues-guitar-lessons-volume-2-slow-blues-essentials/,Intermediate Level,Musical Instruments,Guitar Blues
33,Instant Harmonica - play the gorgeous Skye Boat Song now!,https://www.udemy.com/instant-harmonica-play-the-gorgeous-skye-boat-song-now/,Beginner Level,Musical Instruments,Harmonica Songs
34,Learn to Play Trombone: Go From Beginner to Pro in No Time!,https://www.udemy.com/intermediate-trombone/,Beginner Level,Musical Instruments,Trombone
35,FingerstyleGuitar by Jacques Stotzem - Basic Level,https://www.udemy.com/basic-fingerstyleguitar-jacques-stotzem/,Beginner Level,Musical Instruments,Guitar
36,Instant Harmonica - play two Star Wars themes in 30 minutes ,https://www.udemy.com/instant-harmonica-play-two-star-wars-themes-in-30-minutes/,Beginner Level,Musical Instruments,Harmonica
37,Play Piano To-day! - Beginner Piano Lessons For Busy People!,https://www.udemy.com/piano-for-busy-people/,Beginner Level,Musical Instruments,Piano
38,Learn to Play the Flute: Beginner to Pro in Under Five Hours,https://www.udemy.com/beginnerflute/,Beginner Level,Musical Instruments,Flute
39,Play Piano 7: Improvise on For All We Know in F Key by Ear,https://www.udemy.com/play-piano-7-improvise-on-for-all-we-know-in-f-key-by-ear/,Intermediate Level,Musical Instruments,Piano
40,World's Fastest Piano Method - The Piano Revolution!,https://www.udemy.com/decplay-the-fastest-way-to-learn-piano/,Beginner Level,Musical Instruments,Piano
41,Learn to Play the Trumpet: Beginner to Pro Made the Easy Way,https://www.udemy.com/trumpet-a-beginners-guide/,Beginner Level,Musical Instruments,Trumpet
42,Learn to Play Clarinet: Beginner to Pro in Under Five Hours,https://www.udemy.com/clarinet-a-beginners-guide/,Beginner Level,Musical Instruments,Clarinet
43,Learn To Play The Piano Using Pop R&B and Gospel Chords,https://www.udemy.com/learn-to-play-the-piano-using-pop-rb-and-gospel-chords/,Intermediate Level,Musical Instruments,Piano Chords
44,Play By Ear #4: Play Song By Ear with 3 Chords Using Any Key,https://www.udemy.com/play-by-ear-4-play-many-songs-by-ear-with-3-chords-sing/,Beginner Level,Musical Instruments,Teaching Chords
45,Worship Piano: From Beginner to Pro,https://www.udemy.com/worship-piano-from-beginner-to-pro/,Beginner Level,Musical Instruments,Piano
46,Easy to play Christmas Songs for Guitar,https://www.udemy.com/howtoplaychristmassongsontheguitar/,Intermediate Level,Musical Instruments,Guitar Christmas
47,Ultimate Blues Guitar Beginner Lessons,https://www.udemy.com/ultimate-blues-guitar-beginners-course/,Beginner Level,Musical Instruments,Guitar Blues
48,How to Play Piano - Your First Lesson!,https://www.udemy.com/how-to-play-piano-course/,Beginner Level,Musical Instruments,Piano
49,Playing Piano : Reading and Playing Classical Tunes Vol.I,https://www.udemy.com/piano-playing-beggining-the-journey/,Beginner Level,Musical Instruments,Piano Classical
50,Blues School! A Course For Beginners in Blues Piano & Improv,https://www.udemy.com/blues-piano-improvisation-amaze-yourself/,Beginner Level,Musical Instruments,Piano Blues
51,Learn Fun Dreamy Piano Techniques # 2 - Play Silver Bells,https://www.udemy.com/learn-piano-christmas-song-2-play-dreamy-silver-bells/,Intermediate Level,Musical Instruments,Piano Christmas
52,31 Day Guitar Challenge,https://www.udemy.com/31dayguitar/,Beginner Level,Musical Instruments,Teaching Guitar
53,Percussive Fingerstyle Guitar,https://www.udemy.com/percussive-fingerstyle-course/,Intermediate Level,Musical Instruments,Guitar Picking
54,Learn to Play Saxophone: Beginner to Pro in Under Four Hours,https://www.udemy.com/saxophone-a-beginners-guide/,Beginner Level,Musical Instruments,Saxophone Unique
55,Learn BASS GUITAR- Have Fun Amaze Your Friends- It's Easy!,https://www.udemy.com/bassguitar/,Beginner Level,Musical Instruments,Bass Guitar
56,Guitar Insanity Workout - Eatmystrings!,https://www.udemy.com/eatmystrings-guitar-insanity-workout/,Expert Level,Musical Instruments,Teaching Guitar
57,Playing Piano:  Play Chords and Popular Pieces Vol.I,https://www.udemy.com/playing-piano-i-play-chords-and-popular-pieces/,Beginner Level,Musical Instruments,Piano Chords
58,Guitar Chord Riot! Learn to Play Guitar Like a Guitar Jedi,https://www.udemy.com/guitar-chord-riot-learn-to-play-guitar-like-a-guitar-jedi/,Intermediate Level,Musical Instruments,Guitar Chords Picking
59,Guitar: Learn 12 Must Know Beginner Rock Guitar Riffs,https://www.udemy.com/beginner-electric-guitar/,Beginner Level,Musical Instruments,Guitar
60,Guitar Fretboard Mastery for the Blues Guitarist,https://www.udemy.com/fretboard-mastery-for-the-blues-guitarist/,Intermediate Level,Musical Instruments,Guitar Blues
61,Quick & Easy Piano Chords: Play more songs with more chords,https://www.udemy.com/quick-and-easy-piano-chords/,Beginner Level,Musical Instruments,Piano Chords
62,Instant Harmonica - play Scarborough Fair in 8 easy lectures,https://www.udemy.com/instant-harmonica-play-scarborough-fair-in-8-easy-lectures/,Beginner Level,Musical Instruments,Harmonica
63,Piano With Willie: Blues n' Boogie Vol. 2,https://www.udemy.com/piano-with-willie-blues-n-boogie-vol-2/,Intermediate Level,Musical Instruments,Piano Blues
64,Have Fun with Beginner Blues Piano,https://www.udemy.com/have-fun-with-beginner-blues-piano/,Beginner Level,Musical Instruments,Piano Blues
65,Learn to Play Harp: Beginners Course,https://www.udemy.com/learn-to-play-harp-beginners-course/,Beginner Level,Musical Instruments,Harp Unique
66,Instant Harmonica - play this classic 8 bar blues tune!,https://www.udemy.com/instant-harmonica-play-trouble-in-mind-basic-8-bar-blues/,Expert Level,Musical Instruments,Harmonica
67,Guitar Lessons - Learning The Neck - Fretboard Mastery,https://www.udemy.com/guitar-lessons-learning-the-neck-fretboard-mastery/,Intermediate Level,Musical Instruments,Guitar
68,Take your double bass drum technique to the next level,https://www.udemy.com/take-your-double-bass-drum-technique-to-the-next-level/,Intermediate Level,Musical Instruments,Drums Bass
69,How To Play The Cajon: For Beginners,https://www.udemy.com/how-to-play-the-cajon-for-beginners/,Beginner Level,Musical Instruments,Unique Cajon
70,Slide Guitar- Slide Soloing Essentials,https://www.udemy.com/slide-guitar/,Intermediate Level,Musical Instruments,Guitar
71,Learn Piano #8:  Use Augmented Chord Sub & Whole Tone Scales,https://www.udemy.com/learn-piano-8-use-augmented-chord-sub-whole-tone-scales/,Expert Level,Musical Instruments,Piano Chords
72,Learn Acoustic Guitar for Worship,https://www.udemy.com/learn-acoustic-guitar-for-worship/,Beginner Level,Musical Instruments,Guitar Acoustic
73,Learn 3 - All Time A R Rahman Hits on Carnatic Flute!,https://www.udemy.com/arrahman-hits/,Intermediate Level,Musical Instruments,Flute Songs
