id,course_title,rating
65,Basic Excel for Basic Bookkeeping and Accounting,1
54,Learn Accounting. Understand Business.,1
105,Accounting in 60 Minutes - A Brief Introduction,1
106,Fundamentals of Accounting,1
291,Professional Forex strategy,1
298,Accounting for Depreciation (Collage Level),1
231,Legal Accounting,1
202,Introduction to Accounting - Analyzing Financial Statements,-1
124,Accounting Standards Basics (Professional Course Level),-1
203,Python for Trading & Investing,1
13,Python Algo Trading: Sentiment Trading with News,1
136,Binary Options Course - Level 2,1
230,Investments and Financial Markets,1
246,Technical Charting,1
345,Marketing Analytics,1
220,What is Bitcoin,-1
